PDB ID	Symmetry group (M - monomer; Dna - dihedral with heterologous interfaces; Dns - dihedral with only isologous interfaces; Ts - tetrahedral with isologous interfaces; Ta - tetrahedral with only heterologous interfaces; O* - 4 different octahedral topologies)	Number of subunits	Number of unique subunits (ie row of the periodic table)	Included in non-redundant set	Year of release	Quaternary structure assignment (C - correct; E - error)	Quaternary structure topology index (complexes with the same index have the same reduced topology)	List of interfaces	List of interface types (all identical subunits are given the same code)	List of interface sizes (Angstroms^2)	List of interface types (I- isologous homomeric; H - heterologous homomeric; T - heteromeric)	Interfaces included in the reduced topology (1 - yes; 0 - no)	
101m	M	1	1	0	1998	C	-						
102l	M	1	1	0	1993	C	-						
102m	M	1	1	0	1998	C	-						
103l	M	1	1	0	1993	C	-						
103m	M	1	1	0	1998	C	-						
104l	M	1	1	0	1993	-	-						
104m	M	1	1	0	1998	C	-						
105m	M	1	1	0	1998	C	-						
106m	M	1	1	0	1998	C	-						
107l	M	1	1	0	1993	C	-						
107m	M	1	1	0	1998	C	-						
108l	M	1	1	0	1993	C	-						
108m	M	1	1	0	1998	C	-						
109l	M	1	1	0	1993	C	-						
109m	M	1	1	0	1998	C	-						
10gs	C2	2	1	0	1998	C	1	A-B	A-A	2428.6	I	1	
110l	M	1	1	0	1993	C	-						
110m	M	1	1	0	1998	C	-						
111l	M	1	1	0	1993	C	-						
111m	M	1	1	0	1998	C	-						
112l	M	1	1	0	1993	C	-						
112m	M	1	1	0	1998	C	-						
113l	M	1	1	0	1993	C	-						
114l	M	1	1	0	1993	C	-						
115l	M	1	1	0	1993	C	-						
117e	C2	2	1	0	1998	C	1	A-B	A-A	2035.6	I	1	
118l	M	1	1	0	1993	C	-						
119l	M	1	1	0	1993	C	-						
11as	C2	2	1	1	1998	-	1	A-B	A-A	3732.4	I	1	
11ba	C2	2	1	0	1999	C	1	A-B	A-A	3837.6	I	1	
11bg	C2	2	1	0	1999	C	1	A-B	A-A	3889.3	I	1	
11gs	C2	2	1	0	1999	C	1	A-B	A-A	2465.2	I	1	
120l	M	1	1	0	1993	C	-						
121p	C2	2	1	0	1994	E	1	A-B	A-A	1658.9	I	1	
122l	M	1	1	0	1993	C	-						
123l	M	1	1	0	1993	C	-						
125l	M	1	1	0	1993	C	-						
126l	M	1	1	0	1993	C	-						
127l	M	1	1	0	1993	C	-						
128l	M	1	1	0	1993	C	-						
129l	M	1	1	0	1994	C	-						
12as	C2	2	1	0	1998	-	1	A-B	A-A	3812.2	I	1	
12ca	M	1	1	0	1992	C	-						
12e8	M	2	2	0	1998	-	2	A-B	A-B	3477	T	1	
12gs	C2	2	1	0	1999	C	1	A-B	A-A	2485.9	I	1	
130l	M	1	1	0	1994	C	-						
131l	M	1	1	0	1994	C	-						
132l	M	1	1	0	1993	C	-						
133l	M	1	1	0	1993	C	-						
134l	M	1	1	0	1993	C	-						
135l	M	1	1	0	1993	C	-						
138l	M	1	1	0	1994	C	-						
139l	M	1	1	0	1994	C	-						
13gs	C2	2	1	1	1999	C	1	A-B	A-A	2431.8	I	1	
13pk	M	1	1	1	1997	-	-						
