Monomer_pdb_code Dimer_pdb_code HydrophobicSASA_monomer-HydrophobicSASA_dissociated_dimer Exposed_hydrophobic_resiudes_monomer-Exposed_hydrophobic_residues_dissociated_dimer Mean_minimum_distance_exposed_hydrophobic_resiudes_monomer-Mean_minimum_distance_exposed_hydrophobic_resiudes_dissociated_dimer
2SRC 1UWH -1057.8 -8 -0.924354198656
1HLB 1HLM -328.7 -6 -2.82113603146
2FAM 1UMO -199.8 -2 -9.56468631597
1IAL 1BK5 -1231.2 -12 -0.132967490095
1WDN 1II5 -449.8 -6 0.556655541029
1Q20 1OV4 -573.4 -6 -1.41491061099
1CQW 1J1I 15.4 -1 -2.08470680452
1NA5 1ZOP -288.8 -3 -4.63019288725
1POH 2AK7 -885.5 -9 -5.52532779011
1E7Z 1MKH -469.1 -7 -15.1616158743
5PAL 4CPV -91.4 -2 -0.788148054463
1YAT 1N1A -180.6 0 -2.94963329907
1NAT 1DZ3 -593.9 -5 -2.77493640572
1AGI 1ANG -153.4 0 14.7842618952
1GH2 1ERT -26.1 0 1.27881721627
1CPR 1GQA -290.6 -2 2.4307615765
1LLN 1UQ5 -62.9 -1 3.71885899398
1NW8 1G60 -685.1 -4 -0.531661888299
1PY5 2PHK 17.3 1 -2.61387035489
1DBP 1JHZ -553.6 -6 -0.28260168909
2BDA 1ORF -755.9 -4 0.780605188553
1SDZ 2OPY -363.5 -1 -7.68241817577
1HQP 1G85 -896.0 -10 -10.7053985853
1AE7 1HN4 369.2 3 1.84867774895
1K2A 1H8X -497.7 -5 -17.0509480551
1V9I 1JD0 -365.5 -1 0.849752807088
1ZNY 1S96 -409.3 -4 3.23910194707
1MRQ 1JEZ -661.0 -4 -2.81733668043
1VJW 1SJ1 73.7 1 -2.71456833592
1Y0P 1QO8 50.9 2 -0.890352206666
1DP5 1PSA 4.1 -6 1.4994425401
1QYO 1UIS -524.6 -8 -4.26758643554
1NCX 1BJF -255.4 -2 -2.50244200256
1J2L 1RMR -230.6 -5 4.27904069751
1MIL 1RPY -748.8 -8 -10.6526492493
1NRF 1K38 -572.8 -5 3.86193496835
1BSQ 1EW3 -264.9 -5 -2.422984153
1JWO 1JYQ -23.7 0 1.81331307919
1G8A 1G8S -24.4 0 -1.97640903786
1IE9 1TFC -683.2 -4 -2.26404140919
1G0D 1F13 -1176.0 -15 -1.80385902561
1E6K 1K66 -353.4 -3 -0.0103392109212
1UOK 1LWH -747.2 -7 -2.59522469961
4ICB 1J55 -464.7 -6 -11.9298102649
1ESO 2APS -232.5 -2 -8.62967853288
1ICX 1QMR 214.4 2 2.11140113841
1H75 1R7H -710.8 -6 -17.5377333737
1R6N 1DTO 466.1 3 -0.624701576032
1MEO 3GAR 305.0 7 -0.304613469269
1IJT 1IHK -151.2 -2 -1.07155271517
1MB8 1DXX -610.7 -8 -0.76545142259
