yourlist:M20190514216DA2B77BFBD2E6699CA9B6D1C41EB217BE5C9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
13gs	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
1a0f	P0A9D2	GSTA_ECOLI	reviewed	Glutathione S-transferase GstA (EC 2.5.1.18) (GST B1-1)	gstA gst b1635 JW1627	Escherichia coli (strain K12)	201
1a27	P14061	DHB1_HUMAN	reviewed	Estradiol 17-beta-dehydrogenase 1 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 1) (17-beta-HSD 1) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Placental 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 28C member 1)	HSD17B1 E17KSR EDH17B1 EDH17B2 EDHB17 SDR28C1	Homo sapiens (Human)	328
1a4x	P39765	PYRR_BACSU	reviewed	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR BSU15470	Bacillus subtilis (strain 168)	181
1a59	O34002	PRPC_ABDS2	reviewed	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)	gltA cisY	Antarctic bacterium DS2-3R	379
1ac6	P06323	TVA3_MOUSE	reviewed	T-cell receptor alpha chain V region CTL-F3		Mus musculus (Mouse)	132
1ac6	Q5R1F5	Q5R1F5_MOUSE	unreviewed	TRAV6D-7 (Fragment)	TRAV6D-7	Mus musculus (Mouse)	112
1ad3	P11883	AL3A1_RAT	reviewed	Aldehyde dehydrogenase, dimeric NADP-preferring (EC 1.2.1.5) (Aldehyde dehydrogenase family 3 member A1) (HTC-ALDH) (Tumor-associated aldehyde dehydrogenase)	Aldh3a1 Aldd Aldh3	Rattus norvegicus (Rat)	453
1afw	P27796	THIK_YEAST	reviewed	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	POT1 FOX3 POX3 YIL160C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417
1ah8	P02829	HSP82_YEAST	reviewed	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	HSP82 HSP90 YPL240C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709
